Timestamp,Raw Reading
2017-08-21 11:58:21,36.25 Degrees C: 97.25 Degrees F:
2017-08-21 11:58:23,36.19 Degrees C: 97.14 Degrees F:
2017-08-21 11:58:25,36.19 Degrees C: 97.14 Degrees F:
2017-08-21 11:58:26,36.13 Degrees C: 97.02 Degrees F:
2017-08-21 11:58:28,36.06 Degrees C: 96.91 Degrees F:
2017-08-21 11:58:30,36.00 Degrees C: 96.80 Degrees F:
2017-08-21 11:58:32,36.00 Degrees C: 96.80 Degrees F:
2017-08-21 11:58:34,35.94 Degrees C: 96.69 Degrees F:
2017-08-21 11:58:35,35.94 Degrees C: 96.69 Degrees F:
2017-08-21 11:58:37,35.94 Degrees C: 96.69 Degrees F:
2017-08-21 11:58:39,35.88 Degrees C: 96.57 Degrees F:
2017-08-21 11:58:41,35.88 Degrees C: 96.57 Degrees F:
2017-08-21 11:58:42,35.88 Degrees C: 96.57 Degrees F:
2017-08-21 11:58:44,35.88 Degrees C: 96.57 Degrees F:
2017-08-21 11:58:46,35.88 Degrees C: 96.57 Degrees F:
2017-08-21 11:58:48,35.88 Degrees C: 96.57 Degrees F:
2017-08-21 11:58:50,35.88 Degrees C: 96.57 Degrees F:
2017-08-21 11:58:51,35.88 Degrees C: 96.57 Degrees F:
2017-08-21 11:58:53,35.88 Degrees C: 96.57 Degrees F:
2017-08-21 11:58:55,35.88 Degrees C: 96.57 Degrees F:
2017-08-21 11:58:57,35.88 Degrees C: 96.57 Degrees F:
2017-08-21 11:58:58,35.81 Degrees C: 96.46 Degrees F:
2017-08-21 11:59:00,35.88 Degrees C: 96.57 Degrees F:
2017-08-21 11:59:02,35.81 Degrees C: 96.46 Degrees F:
2017-08-21 11:59:04,35.88 Degrees C: 96.57 Degrees F:
2017-08-21 11:59:06,35.88 Degrees C: 96.57 Degrees F:
2017-08-21 11:59:07,35.88 Degrees C: 96.57 Degrees F:
2017-08-21 11:59:09,35.94 Degrees C: 96.69 Degrees F:
2017-08-21 11:59:11,35.94 Degrees C: 96.69 Degrees F:
2017-08-21 11:59:13,35.94 Degrees C: 96.69 Degrees F:
2017-08-21 11:59:14,35.94 Degrees C: 96.69 Degrees F:
2017-08-21 11:59:16,35.94 Degrees C: 96.69 Degrees F:
2017-08-21 11:59:18,35.94 Degrees C: 96.69 Degrees F:
2017-08-21 11:59:20,35.94 Degrees C: 96.69 Degrees F:
2017-08-21 11:59:22,35.94 Degrees C: 96.69 Degrees F:
2017-08-21 11:59:23,35.94 Degrees C: 96.69 Degrees F:
2017-08-21 11:59:25,35.94 Degrees C: 96.69 Degrees F:
2017-08-21 11:59:27,35.94 Degrees C: 96.69 Degrees F:
2017-08-21 11:59:29,35.94 Degrees C: 96.69 Degrees F:
2017-08-21 11:59:30,35.94 Degrees C: 96.69 Degrees F:
2017-08-21 11:59:32,35.88 Degrees C: 96.57 Degrees F:
2017-08-21 11:59:34,35.88 Degrees C: 96.57 Degrees F:
2017-08-21 11:59:36,35.88 Degrees C: 96.57 Degrees F:
2017-08-21 11:59:38,35.81 Degrees C: 96.46 Degrees F:
2017-08-21 11:59:39,35.81 Degrees C: 96.46 Degrees F:
2017-08-21 11:59:41,35.81 Degrees C: 96.46 Degrees F:
2017-08-21 11:59:43,35.81 Degrees C: 96.46 Degrees F:
2017-08-21 11:59:45,35.81 Degrees C: 96.46 Degrees F:
2017-08-21 11:59:46,35.81 Degrees C: 96.46 Degrees F:
2017-08-21 11:59:48,35.81 Degrees C: 96.46 Degrees F:
2017-08-21 11:59:50,35.75 Degrees C: 96.35 Degrees F:
2017-08-21 11:59:52,35.75 Degrees C: 96.35 Degrees F:
2017-08-21 11:59:54,35.75 Degrees C: 96.35 Degrees F:
2017-08-21 11:59:55,35.75 Degrees C: 96.35 Degrees F:
2017-08-21 11:59:57,35.69 Degrees C: 96.24 Degrees F:
2017-08-21 11:59:59,35.69 Degrees C: 96.24 Degrees F:
2017-08-21 12:00:01,35.69 Degrees C: 96.24 Degrees F:
2017-08-21 12:00:02,35.69 Degrees C: 96.24 Degrees F:
2017-08-21 12:00:04,35.63 Degrees C: 96.12 Degrees F:
2017-08-21 12:00:06,35.69 Degrees C: 96.24 Degrees F:
2017-08-21 12:00:08,35.69 Degrees C: 96.24 Degrees F:
2017-08-21 12:00:10,35.63 Degrees C: 96.12 Degrees F:
2017-08-21 12:00:11,35.63 Degrees C: 96.12 Degrees F:
2017-08-21 12:00:13,35.63 Degrees C: 96.12 Degrees F:
2017-08-21 12:00:15,35.63 Degrees C: 96.12 Degrees F:
2017-08-21 12:00:17,35.63 Degrees C: 96.12 Degrees F:
2017-08-21 12:00:18,35.63 Degrees C: 96.12 Degrees F:
2017-08-21 12:00:20,35.63 Degrees C: 96.12 Degrees F:
2017-08-21 12:00:22,35.63 Degrees C: 96.12 Degrees F:
2017-08-21 12:00:24,35.63 Degrees C: 96.12 Degrees F:
2017-08-21 12:00:26,35.69 Degrees C: 96.24 Degrees F:
2017-08-21 12:00:27,35.69 Degrees C: 96.24 Degrees F:
2017-08-21 12:00:29,35.75 Degrees C: 96.35 Degrees F:
2017-08-21 12:00:31,35.75 Degrees C: 96.35 Degrees F:
2017-08-21 12:00:33,35.75 Degrees C: 96.35 Degrees F:
2017-08-21 12:00:34,35.81 Degrees C: 96.46 Degrees F:
2017-08-21 12:00:36,35.81 Degrees C: 96.46 Degrees F:
2017-08-21 12:00:38,35.88 Degrees C: 96.57 Degrees F:
2017-08-21 12:00:40,35.94 Degrees C: 96.69 Degrees F:
2017-08-21 12:00:42,35.94 Degrees C: 96.69 Degrees F:
2017-08-21 12:00:43,36.00 Degrees C: 96.80 Degrees F:
2017-08-21 12:00:45,36.00 Degrees C: 96.80 Degrees F:
2017-08-21 12:00:47,36.06 Degrees C: 96.91 Degrees F:
2017-08-21 12:00:49,36.06 Degrees C: 96.91 Degrees F:
2017-08-21 12:00:50,36.06 Degrees C: 96.91 Degrees F:
2017-08-21 12:00:52,36.06 Degrees C: 96.91 Degrees F:
2017-08-21 12:00:54,36.06 Degrees C: 96.91 Degrees F:
2017-08-21 12:00:56,36.06 Degrees C: 96.91 Degrees F:
2017-08-21 12:00:57,36.06 Degrees C: 96.91 Degrees F:
2017-08-21 12:00:59,36.06 Degrees C: 96.91 Degrees F:
2017-08-21 12:01:01,36.13 Degrees C: 97.02 Degrees F:
2017-08-21 12:01:03,36.13 Degrees C: 97.02 Degrees F:
2017-08-21 12:01:05,36.13 Degrees C: 97.02 Degrees F:
2017-08-21 12:01:06,36.13 Degrees C: 97.02 Degrees F:
2017-08-21 12:01:08,36.13 Degrees C: 97.02 Degrees F:
2017-08-21 12:01:10,36.13 Degrees C: 97.02 Degrees F:
2017-08-21 12:01:12,36.19 Degrees C: 97.14 Degrees F:
2017-08-21 12:01:13,36.19 Degrees C: 97.14 Degrees F:
2017-08-21 12:01:15,36.19 Degrees C: 97.14 Degrees F:
2017-08-21 12:01:17,36.25 Degrees C: 97.25 Degrees F:
2017-08-21 12:01:19,36.25 Degrees C: 97.25 Degrees F:
2017-08-21 12:01:21,36.19 Degrees C: 97.14 Degrees F:
2017-08-21 12:01:22,36.25 Degrees C: 97.25 Degrees F:
2017-08-21 12:01:24,36.25 Degrees C: 97.25 Degrees F:
2017-08-21 12:01:26,36.25 Degrees C: 97.25 Degrees F:
2017-08-21 12:01:28,36.25 Degrees C: 97.25 Degrees F:
2017-08-21 12:01:29,36.31 Degrees C: 97.36 Degrees F:
2017-08-21 12:01:31,36.31 Degrees C: 97.36 Degrees F:
2017-08-21 12:01:33,36.31 Degrees C: 97.36 Degrees F:
2017-08-21 12:01:35,36.31 Degrees C: 97.36 Degrees F:
2017-08-21 12:01:37,36.31 Degrees C: 97.36 Degrees F:
2017-08-21 12:01:38,36.38 Degrees C: 97.47 Degrees F:
2017-08-21 12:01:40,36.38 Degrees C: 97.47 Degrees F:
2017-08-21 12:01:42,36.44 Degrees C: 97.59 Degrees F:
2017-08-21 12:01:44,36.44 Degrees C: 97.59 Degrees F:
2017-08-21 12:01:45,36.44 Degrees C: 97.59 Degrees F:
2017-08-21 12:01:47,36.50 Degrees C: 97.70 Degrees F:
2017-08-21 12:01:49,36.50 Degrees C: 97.70 Degrees F:
2017-08-21 12:01:51,36.56 Degrees C: 97.81 Degrees F:
2017-08-21 12:01:53,36.63 Degrees C: 97.92 Degrees F:
2017-08-21 12:01:54,36.69 Degrees C: 98.04 Degrees F:
2017-08-21 12:01:56,36.75 Degrees C: 98.15 Degrees F:
2017-08-21 12:01:58,36.75 Degrees C: 98.15 Degrees F:
2017-08-21 12:02:00,36.88 Degrees C: 98.37 Degrees F:
2017-08-21 12:02:01,36.94 Degrees C: 98.49 Degrees F:
2017-08-21 12:02:03,37.00 Degrees C: 98.60 Degrees F:
2017-08-21 12:02:05,37.06 Degrees C: 98.71 Degrees F:
2017-08-21 12:02:07,37.13 Degrees C: 98.82 Degrees F:
2017-08-21 12:02:09,37.25 Degrees C: 99.05 Degrees F:
2017-08-21 12:02:10,37.31 Degrees C: 99.16 Degrees F:
2017-08-21 12:02:12,37.38 Degrees C: 99.27 Degrees F:
2017-08-21 12:02:14,37.44 Degrees C: 99.39 Degrees F:
2017-08-21 12:02:16,37.44 Degrees C: 99.39 Degrees F:
2017-08-21 12:02:17,37.50 Degrees C: 99.50 Degrees F:
2017-08-21 12:02:19,37.50 Degrees C: 99.50 Degrees F:
2017-08-21 12:02:21,37.56 Degrees C: 99.61 Degrees F:
2017-08-21 12:02:23,37.63 Degrees C: 99.72 Degrees F:
2017-08-21 12:02:25,37.63 Degrees C: 99.72 Degrees F:
2017-08-21 12:02:26,37.63 Degrees C: 99.72 Degrees F:
2017-08-21 12:02:28,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 12:02:30,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 12:02:32,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 12:02:33,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 12:02:35,37.63 Degrees C: 99.72 Degrees F:
2017-08-21 12:02:37,37.63 Degrees C: 99.72 Degrees F:
2017-08-21 12:02:39,37.63 Degrees C: 99.72 Degrees F:
2017-08-21 12:02:41,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 12:02:42,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 12:02:44,37.75 Degrees C: 99.95 Degrees F:
